,total_bill,tip,sex,smoker,day,time,size,pourboire
0,16.99,1.01,Female,No,Sun,Dinner,2,5.9446733372572105
1,10.34,1.66,Male,No,Sun,Dinner,3,16.054158607350097
2,21.01,3.5,Male,No,Sun,Dinner,3,16.658733936220845
3,23.68,3.31,Male,No,Sun,Dinner,2,13.97804054054054
4,24.59,3.61,Female,No,Sun,Dinner,4,14.680764538430255
5,25.29,4.71,Male,No,Sun,Dinner,4,18.62396204033215
6,8.77,2.0,Male,No,Sun,Dinner,2,22.80501710376283
7,26.88,3.12,Male,No,Sun,Dinner,4,11.607142857142858
8,15.04,1.96,Male,No,Sun,Dinner,2,13.031914893617023
9,14.78,3.23,Male,No,Sun,Dinner,2,21.853856562922868
10,10.27,1.71,Male,No,Sun,Dinner,2,16.65043816942551
11,35.26,5.0,Female,No,Sun,Dinner,4,14.180374361883155
12,15.42,1.57,Male,No,Sun,Dinner,2,10.181582360570687
13,18.43,3.0,Male,No,Sun,Dinner,4,16.277807921866522
14,14.83,3.02,Female,No,Sun,Dinner,2,20.364126770060686
15,21.58,3.92,Male,No,Sun,Dinner,2,18.164967562557923
16,10.33,1.67,Female,No,Sun,Dinner,3,16.16650532429816
17,16.29,3.71,Male,No,Sun,Dinner,3,22.774708410067525
18,16.97,3.5,Female,No,Sun,Dinner,3,20.624631703005306
19,20.65,3.35,Male,No,Sat,Dinner,3,16.222760290556902
20,17.92,4.08,Male,No,Sat,Dinner,2,22.767857142857142
21,20.29,2.75,Female,No,Sat,Dinner,2,13.553474618038445
22,15.77,2.23,Female,No,Sat,Dinner,2,14.140773620798985
23,39.42,7.58,Male,No,Sat,Dinner,4,19.228817858954844
24,19.82,3.18,Male,No,Sat,Dinner,2,16.044399596367306
25,17.81,2.34,Male,No,Sat,Dinner,4,13.138686131386862
26,13.37,2.0,Male,No,Sat,Dinner,2,14.958863126402393
27,12.69,2.0,Male,No,Sat,Dinner,2,15.760441292356187
28,21.7,4.3,Male,No,Sat,Dinner,2,19.81566820276498
29,19.65,3.0,Female,No,Sat,Dinner,2,15.267175572519085
30,9.55,1.45,Male,No,Sat,Dinner,2,15.18324607329843
31,18.35,2.5,Male,No,Sat,Dinner,4,13.623978201634875
32,15.06,3.0,Female,No,Sat,Dinner,2,19.9203187250996
33,20.69,2.45,Female,No,Sat,Dinner,4,11.841469308844852
34,17.78,3.27,Male,No,Sat,Dinner,2,18.391451068616423
35,24.06,3.6,Male,No,Sat,Dinner,3,14.962593516209477
36,16.31,2.0,Male,No,Sat,Dinner,3,12.262415695892091
37,16.93,3.07,Female,No,Sat,Dinner,3,18.13349084465446
38,18.69,2.31,Male,No,Sat,Dinner,3,12.359550561797752
39,31.27,5.0,Male,No,Sat,Dinner,3,15.98976654940838
40,16.04,2.24,Male,No,Sat,Dinner,3,13.965087281795514
41,17.46,2.54,Male,No,Sun,Dinner,2,14.547537227949597
42,13.94,3.06,Male,No,Sun,Dinner,2,21.951219512195124
43,9.68,1.32,Male,No,Sun,Dinner,2,13.636363636363638
44,30.4,5.6,Male,No,Sun,Dinner,4,18.421052631578945
45,18.29,3.0,Male,No,Sun,Dinner,2,16.402405686167302
46,22.23,5.0,Male,No,Sun,Dinner,2,22.492127755285647
47,32.4,6.0,Male,No,Sun,Dinner,4,18.51851851851852
48,28.55,2.05,Male,No,Sun,Dinner,3,7.180385288966725
49,18.04,3.0,Male,No,Sun,Dinner,2,16.629711751662974
50,12.54,2.5,Male,No,Sun,Dinner,2,19.936204146730464
51,10.29,2.6,Female,No,Sun,Dinner,2,25.26724975704568
52,34.81,5.2,Female,No,Sun,Dinner,4,14.938236139040505
53,9.94,1.56,Male,No,Sun,Dinner,2,15.694164989939638
54,25.56,4.34,Male,No,Sun,Dinner,4,16.97965571205008
55,19.49,3.51,Male,No,Sun,Dinner,2,18.009235505387377
56,38.01,3.0,Male,Yes,Sat,Dinner,4,7.892659826361484
57,26.41,1.5,Female,No,Sat,Dinner,2,5.679666792881484
58,11.24,1.76,Male,Yes,Sat,Dinner,2,15.658362989323843
59,48.27,6.73,Male,No,Sat,Dinner,4,13.942407292314066
60,20.29,3.21,Male,Yes,Sat,Dinner,2,15.82060128141942
61,13.81,2.0,Male,Yes,Sat,Dinner,2,14.482259232440258
62,11.02,1.98,Male,Yes,Sat,Dinner,2,17.96733212341198
63,18.29,3.76,Male,Yes,Sat,Dinner,4,20.55768179332969
64,17.59,2.64,Male,No,Sat,Dinner,3,15.008527572484368
65,20.08,3.15,Male,No,Sat,Dinner,3,15.687250996015937
66,16.45,2.47,Female,No,Sat,Dinner,2,15.01519756838906
67,3.07,1.0,Female,Yes,Sat,Dinner,1,32.57328990228013
68,20.23,2.01,Male,No,Sat,Dinner,2,9.935739001482945
69,15.01,2.09,Male,Yes,Sat,Dinner,2,13.924050632911392
70,12.02,1.97,Male,No,Sat,Dinner,2,16.38935108153078
71,17.07,3.0,Female,No,Sat,Dinner,3,17.57469244288225
72,26.86,3.14,Female,Yes,Sat,Dinner,2,11.69024571854058
73,25.28,5.0,Female,Yes,Sat,Dinner,2,19.77848101265823
74,14.73,2.2,Female,No,Sat,Dinner,2,14.935505770536322
75,10.51,1.25,Male,No,Sat,Dinner,2,11.893434823977165
76,17.92,3.08,Male,Yes,Sat,Dinner,2,17.1875
77,27.2,4.0,Male,No,Thur,Lunch,4,14.705882352941178
78,22.76,3.0,Male,No,Thur,Lunch,2,13.181019332161686
79,17.29,2.71,Male,No,Thur,Lunch,2,15.6737998843262
80,19.44,3.0,Male,Yes,Thur,Lunch,2,15.432098765432098
